總計,汽車,大客車,大貨車,小客車,小貨車,特種車,機車
103年 4月底,"405,639","143,242","1,006","2,284","127,282","11,444","1,226","262,397"
103年 5月底,"406,303","143,672","1,015","2,298","127,671","11,468","1,220","262,631"
103年 6月底,"402,801","144,081","1,014","2,296","128,081","11,467","1,223","258,720"
103年 7月底,"401,506","144,400","1,034","2,292","128,358","11,494","1,222","257,106"
103年 8月底,"402,953","144,682","1,035","2,298","128,606","11,522","1,221","258,271"
103年 9月底,"403,135","144,954","1,038","2,301","128,873","11,532","1,210","258,181"
103年 10月底,"404,004","145,283","1,037","2,300","129,173","11,559","1,214","258,721"
103年 11月底,"403,135","145,576","1,036","2,300","129,466","11,561","1,213","257,559"
103年 12月底,"402,255","145,805","1,036","2,293","129,682","11,567","1,227","256,450"
104年底,"404,520","148,910","1,074","2,303","132,812","11,479","1,242","255,610"
104年 1月底,"402,572","146,193","1,034","2,289","130,080","11,568","1,222","256,379"
104年 2月底,"403,078","146,324","1,039","2,289","130,210","11,560","1,226","256,754"
104年 3月底,"404,073","146,546","1,014","2,309","130,459","11,535","1,229","257,527"
104年 4月底,"403,910","146,552","1,013","2,300","130,478","11,534","1,227","257,358"
104年 5月底,"404,548","146,940","1,015","2,301","130,874","11,531","1,219","257,608"
104年 6月底,"402,413","147,236","1,027","2,302","131,155","11,531","1,221","255,177"
104年 7月底,"402,619","147,699","1,035","2,309","131,621","11,514","1,220","254,920"
104年 8月底,"402,864","147,716","1,048","2,313","131,621","11,514","1,220","255,148"
104年 9月底,"403,694","147,932","1,049","2,313","131,814","11,524","1,232","255,762"
104年 10月底,"404,123","148,200","1,045","2,314","132,080","11,525","1,236","255,923"
104年 11月底,"404,612","148,485","1,053","2,308","132,355","11,520","1,249","256,127"
104年 12月底,"404,520","148,910","1,074","2,303","132,812","11,479","1,242","255,610"
105年底,"408,270","151,288","1,084","2,262","135,196","11,447","1,299","256,982"
105年 1月底,"404,843","149,233","1,072","2,282","133,153","11,479","1,247","255,610"
105年 2月底,"404,744","149,097","1,066","2,278","133,067","11,437","1,249","255,647"
105年 3月底,"404,811","149,196","1,075","2,274","133,159","11,445","1,243","255,615"
105年 4月底,"404,544","149,303","1,067","2,272","133,289","11,435","1,240","255,241"
